gi|545	12205	24206	R=0	+	20751	8546	3440
gi|545	12205	24206	R=0	+	19683	7478	4508
gi|545	12014	24206	R=0	+	18792	6778	5399
gi|545	11471	24206	R=0	+	18079	6608	6112
gi|545	9453	24206	R=0	+	17366	7913	6825
gi|545	9453	24206	R=0	+	16476	7023	7715
gi|545	11471	24206	R=0	+	15587	4116	8604
gi|545	9453	24206	R=0	+	14874	5421	9317
gi|545	8765	23999	R=0	+	13982	5217	10002
gi|545	9308	23111	R=0	+	13093	3785	10003
gi|545	8693	18854	R=0	+	12023	3330	6816
gi|545	11131	17516	R=0	+	11131	0	6370
gi|545	10241	17516	R=0	+	10241	0	7260
gi|545	1	14205	R=0	+	9350	9349	4840
gi|545	1	12016	R=0	+	8279	8278	3722
gi|545	1	12016	R=0	+	7389	7388	4612
gi|545	1	12016	R=0	+	6499	6498	5502
gi|545	1	12016	R=0	+	5609	5608	6392
gi|545	1	12016	R=0	+	4897	4896	7104
gi|545	1	12016	R=0	+	4363	4362	7638
gi|545	1	12016	R=0	+	3473	3472	8528
gi|545	1	12016	R=0	+	2583	2582	9418
gi|545	1	11711	R=0	+	1693	1692	10003
gi|545	1	10821	R=0	+	802	801	10004
gi|545	1	10109	R=0	+	92	91	10002
gi|543	35957	46389	R=0	+	45955	9998	419
gi|543	35067	46389	R=0	+	45065	9998	1309
gi|543	34533	46389	R=0	+	44531	9998	1843
gi|543	33643	46389	R=0	+	43642	9999	2732
gi|543	32576	46389	R=0	+	42574	9998	3800
gi|543	32042	46389	R=0	+	42040	9998	4334
gi|543	31152	46389	R=0	+	41150	9998	5224
gi|543	30262	46389	R=0	+	40260	9998	6114
gi|543	29194	46389	R=0	+	39192	9998	7182
gi|543	28660	46389	R=0	+	38658	9998	7716
gi|543	27770	46389	R=0	+	37768	9998	8606
gi|543	26880	46389	R=0	+	36878	9998	9496
gi|543	25991	46001	R=0	+	35988	9997	9998
gi|543	25101	45111	R=0	+	35098	9997	9998
gi|543	24211	44221	R=0	+	34208	9997	9998
gi|543	23322	43332	R=0	+	33319	9997	9998
gi|543	22432	42442	R=0	+	32429	9997	9998
gi|543	21721	41730	R=0	+	31717	9996	9998
